着順,馬番,馬名,性齢,負担重量,騎手,推定上り,馬体重（増減）,調教師,人気,降水量(合計),気温(平均),風速(平均),風向(最多)
14,7,タレントバイオ,牝2,54,木幡 巧也,42,470(初出走),牧 光二,13,0,25.5,1.9,南
15,9,レクレール,牡2,55,武士沢 友治,40.7,466(初出走),堀井 雅広,15,0,25.5,1.9,南
16,12,ワンビリーブ,牡2,55,石川 裕紀人,46.2,508(初出走),相沢 郁,10,0,25.5,1.9,南
,,,,,,,,,,,,,
2019/10/5,5R,,,,,,,,,,,,
1,16,ラッシュアップ,牡2,55,戸崎 圭太,34.7,526(初出走),金成 貴史,3,0,25.5,1.9,南
2,10,スピードオブラブ,牝2,54,北村 宏司,34.3,432(初出走),中川 公成,10,0,25.5,1.9,南
3,7,クロミナンス,牡2,55,M.デムーロ,35.3,480(初出走),尾関 知人,1,0,25.5,1.9,南
4,12,グッドマックス,牝2,54,木幡 巧也,34.4,448(初出走),堀井 雅広,8,0,25.5,1.9,南
5,3,クリノプレミアム,牝2,54,田中 勝春,35.2,460(初出走),伊藤 伸一,7,0,25.5,1.9,南
6,14,フェデネージュ,牝2,54,蛯名 正義,35.3,432(初出走),国枝 栄,2,0,25.5,1.9,南
7,5,ジェロボーム,牝2,54,三浦 皇成,35,490(初出走),古賀 慎明,5,0,25.5,1.9,南
8,18,ナゲキッス,牝2,54,江田 照男,35.5,418(初出走),大江原 哲,15,0,25.5,1.9,南
9,4,コバルトスカイ,牝2,53,☆野中 悠太郎,35.3,470(初出走),黒岩 陽一,4,0,25.5,1.9,南
10,17,ミヤビマドンナ,牝2,54,松岡 正海,35.9,450(初出走),中舘 英二,6,0,25.5,1.9,南
11,6,ジャポネスク,牝2,54,大野 拓弥,35.1,416(初出走),高橋 祥泰,13,0,25.5,1.9,南
12,2,ボンテンマル,牡2,54,☆武藤 雅,35.8,434(初出走),尾形 和幸,9,0,25.5,1.9,南
13,1,ナムラアロハ,牝2,51,▲大塚 海渡,35.8,378(初出走),石栗 龍彦,17,0,25.5,1.9,南
14,13,グランバル,牡2,55,太宰 啓介,37.1,466(初出走),和田 雄二,11,0,25.5,1.9,南
15,9,テイエムピカピカ,牝2,54,菅原 隆一,36.8,460(初出走),石栗 龍彦,16,0,25.5,1.9,南
16,11,カゼニノッテ,牝2,54,大庭 和弥,36,452(初出走),松永 康利,18,0,25.5,1.9,南
17,15,シデンカイ,牡2,55,武士沢 友治,36.5,526(初出走),清水 英克,12,0,25.5,1.9,南
18,8,ジャストチョウサン,牡2,55,石川 裕紀人,37,460(初出走),蛯名 利弘,14,0,25.5,1.9,南
,,,,,,,,,,,,,
2019/10/5,11R,,,,,,,,,,,,
1,3,サリオス,牡2,55,石橋 脩,33.1,540(+6),堀 宣行,1,0,25.5,1.9,南
2,6,クラヴァシュドール,牝2,54,藤岡 佑介,33.1,450(0),中内田 充正,2,0,25.5,1.9,南
3,8,アブソルティスモ,牡2,55,戸崎 圭太,34.3,494(-4),藤沢 和雄,3,0,25.5,1.9,南
4,2,ジェラペッシュ,牝2,54,吉田 豊,34.1,446(+4),尾関 知人,6,0,25.5,1.9,南
5,9,エンジェルサークル,牝2,54,M.デムーロ,33.7,436(-6),中川 公成,5,0,25.5,1.9,南
6,7,シコウ,牡2,55,木幡 巧也,34.9,450(-10),牧 光二,7,0,25.5,1.9,南
7,4,カップッチョ,牡2,55,江田 照男,34.4,440(+2),高市 圭二,9,0,25.5,1.9,南
8,5,ロードエクスプレス,牡2,55,三浦 皇成,34.4,438(+6),坂口 智康,4,0,25.5,1.9,南
9,1,イロゴトシ,牡2,55,小崎 綾也,35,458(+4),牧田 和弥,8,0,25.5,1.9,南
,,,,,,,,,,,,,
2019/10/6,1R,,,,,,,,,,,,
1,6,ホットミスト,牝2,54,福永 祐一,37,462(+4),安田 隆行,1,0,20.6,1.7,北東
2,9,マイネルエスペルト,牡2,55,津村 明秀,37.7,498(-6),水野 貴広,4,0,20.6,1.7,北東
3,10,カッチョカバロ,牡2,55,木幡 巧也,38,490(+2),牧 光二,2,0,20.6,1.7,北東
4,11,コスモケルビン,牡2,55,柴田 大知,37.6,484(-4),佐藤 吉勝,3,0,20.6,1.7,北東
5,4,シュプレムラン,牡2,53,△木幡 育也,37.8,476(0),田中 博康,5,0,20.6,1.7,北東
6,8,リュウノブルック,牡2,55,菅原 隆一,38.8,458(-6),小野 次郎,8,0,20.6,1.7,北東
7,1,タイセイブーティー,牡2,55,石橋 脩,38.4,460(+8),伊藤 圭三,6,0,20.6,1.7,北東
8,2,ナックライオン,牡2,52,▲岩田 望来,39.6,498(+2),杉浦 宏昭,9,0,20.6,1.7,北東
9,3,ニシノジェイピー,牡2,54,☆武藤 雅,38.5,432(+4),田村 康仁,7,0,20.6,1.7,北東
10,5,ユーアーマイソウル,牡2,55,松岡 正海,39.8,474(-4),伊藤 伸一,10,0,20.6,1.7,北東
11,7,バトルモモタロー,牡2,54,☆野中 悠太郎,38.9,412(0),伊藤 大士,11,0,20.6,1.7,北東
,,,,,,,,,,,,,
2019/10/6,2R,,,,,,,,,,,,
1,11,スズカコーズマンボ,牡2,55,北村 宏司,36.5,464(+6),伊藤 圭三,8,0,20.6,1.7,北東
2,16,ソクシン,牡2,54,☆野中 悠太郎,37.6,508(-6),小西 一男,3,0,20.6,1.7,北東
3,12,ラブリーエンジェル,牝2,54,武士沢 友治,37.8,432(-8),堀井 雅広,13,0,20.6,1.7,北東
4,3,ハディア,牡2,55,津村 明秀,38.7,452(+2),粕谷 昌央,11,0,20.6,1.7,北東
5,7,ビッグワンビリーブ,牡2,55,木幡 巧也,38.8,444(-10),蛯名 利弘,12,0,20.6,1.7,北東
6,6,パイプライン,牡2,55,田中 勝春,39.1,482(-4),田中 剛,1,0,20.6,1.7,北東
7,13,ワセダウォリアー,牡2,55,戸崎 圭太,39,460(0),金成 貴史,2,0,20.6,1.7,北東
8,8,ケイティディライト,牝2,54,四位 洋文,39.5,444(-4),小野 次郎,5,0,20.6,1.7,北東
9,2,セイウンハテンコウ,牡2,55,内田 博幸,39.8,506(-4),武市 康男,4,0,20.6,1.7,北東
10,4,コスモピオニール,牡2,55,柴田 大知,38.8,462(0),天間 昭一,15,0,20.6,1.7,北東
11,1,トーセンコパン,牡2,53,△木幡 育也,39,468(+2),菊沢 隆徳,9,0,20.6,1.7,北東
12,9,ホープブロッサム,牝2,54,A.シュタルケ,39.3,476(-10),池上 昌和,6,0,20.6,1.7,北東
13,10,ペリトモレノ,牝2,54,江田 照男,40.2,458(-8),大江原 哲,7,0,20.6,1.7,北東
14,14,ラカルマ,牝2,51,▲岩田 望来,40.5,472(-8),杉浦 宏昭,10,0,20.6,1.7,北東
15,15,トーアクルス,牡2,55,酒井 学,39.4,496(+2),作田 誠二,14,0,20.6,1.7,北東
16,5,ユラ,牝2,54,服部 茂史,39.5,458(-2),小桧山 悟,16,0,20.6,1.7,北東
,,,,,,,,,,,,,
2019/10/6,3R,,,,,,,,,,,,
1,9,ヴァルナ,牡2,55,福永 祐一,34,492(+12),寺島 良,2,0,20.6,1.7,北東
2,7,ゴールドパラディン,牡2,55,戸崎 圭太,34.4,430(0),山内 研二,4,0,20.6,1.7,北東
3,10,エースインザハート,牡2,53,△木幡 育也,34.5,440(-2),高市 圭二,6,0,20.6,1.7,北東
4,12,ツクバゴールド,牡2,55,A.シュタルケ,34.8,508(0),清水 久詞,3,0,20.6,1.7,北東
5,6,マイネルシスネロス,牡2,54,☆武藤 雅,34.3,462(+4),水野 貴広,1,0,20.6,1.7,北東
6,3,シバノレイワ,牡2,55,北村 宏司,34.8,460(+2),萱野 浩二,7,0,20.6,1.7,北東
7,1,ハッピールーラ,牡2,55,松岡 正海,34.8,448(-2),長谷川 浩大,5,0,20.6,1.7,北東
8,8,センノベステス,牡2,55,吉田 豊,34.7,484(-10),南田 美知雄,11,0,20.6,1.7,北東
9,5,オウサマプリン,牡2,55,服部 茂史,35.8,468(+4),的場 均,12,0,20.6,1.7,北東
10,11,イッツオーライト,牡2,54,☆野中 悠太郎,36.9,442(-4),竹内 正洋,8,0,20.6,1.7,北東
11,2,グラスカルメン,牝2,54,木幡 巧也,36.9,434(+6),尾形 和幸,9,0,20.6,1.7,北東
12,4,ハーフジャック,牡2,52,▲岩田 望来,37.7,418(-4),加藤 士津八,10,0,20.6,1.7,北東
,,,,,,,,,,,,,
2019/10/6,4R,,,,,,,,,,,,
1,2,バトルカグヤ,牝2,54,津村 明秀,34.7,460(初出走),本田 優,7,0,20.6,1.7,北東
2,15,トルニ,牝2,54,吉田 豊,34,458(初出走),高橋 裕,9,0,20.6,1.7,北東
3,12,オメガデラックス,せん2,55,石橋 脩,34,432(初出走),安田 翔伍,4,0,20.6,1.7,北東
4,1,ダイワリチャード,牡2,55,内田 博幸,34.5,446(初出走),上原 博之,2,0,20.6,1.7,北東
5,6,イザラ,牝2,54,福永 祐一,34.7,442(初出走),加藤 征弘,1,0,20.6,1.7,北東
6,8,スズノヤマト,牡2,55,幸 英明,35,460(初出走),高橋 裕,5,0,20.6,1.7,北東
7,10,ドンマニフィコ,牡2,55,A.シュタルケ,34.8,428(初出走),牧浦 充徳,6,0,20.6,1.7,北東
8,4,マイネルアルモニコ,牡2,55,柴田 大知,35.1,428(初出走),鹿戸 雄一,8,0,20.6,1.7,北東
9,11,ベスティア,牡2,54,☆野中 悠太郎,34.9,472(初出走),黒岩 陽一,11,0,20.6,1.7,北東
10,9,シュシュダムール,牝2,52,△木幡 育也,35.3,422(初出走),粕谷 昌央,13,0,20.6,1.7,北東
11,14,シラカワカツコ,牝2,54,松岡 正海,33.8,394(初出走),伊藤 伸一,16,0,20.6,1.7,北東
12,3,ディーバダンス,牝2,51,▲岩田 望来,35.3,448(初出走),大江原 哲,14,0,20.6,1.7,北東
13,16,ワキノフオルテ,牡2,55,田中 勝春,35.4,470(初出走),清水 久詞,10,0,20.6,1.7,北東
14,5,ハルノマリーナ,牝2,54,服部 茂史,35.1,460(初出走),小桧山 悟,12,0,20.6,1.7,北東
15,13,ホルダンモル,牝2,54,武士沢 友治,34.9,418(初出走),松永 康利,15,0,20.6,1.7,北東
16,7,ヤマヒビキ,牝2,54,石神 深一,35.1,466(初出走),石栗 龍彦,18,0,20.6,1.7,北東
17,18,ハシレコウマ,牡2,55,菅原 隆一,35.8,492(初出走),石栗 龍彦,17,0,20.6,1.7,北東
18,17,ラファエル,牡2,55,戸崎 圭太,36.9,486(初出走),伊藤 圭三,3,0,20.6,1.7,北東
,,,,,,,,,,,,,
2019/10/6,5R,,,,,,,,,,,,
1,10,サクラトゥジュール,牡2,55,石橋 脩,33.6,472(初出走),堀 宣行,2,0,20.6,1.7,北東
2,9,ロードソリッド,牡2,55,A.シュタルケ,33.8,458(初出走),清水 久詞,3,0,20.6,1.7,北東
3,7,ランサムトラップ,牝2,54,木幡 巧也,34,418(初出走),根本 康広,11,0,20.6,1.7,北東
4,1,ダノングロワール,牡2,55,戸崎 圭太,34.3,490(初出走),国枝 栄,1,0,20.6,1.7,北東
5,5,マルターズデセオ,牡2,54,☆武藤 雅,34.3,482(初出走),手塚 貴久,6,0,20.6,1.7,北東
6,8,ジュールサイクル,牝2,54,内田 博幸,34,452(初出走),田中 剛,7,0,20.6,1.7,北東
7,4,ビレッジイーグル,牡2,55,松岡 正海,34.9,478(初出走),竹内 正洋,4,0,20.6,1.7,北東
8,3,ホウオウトラスト,牡2,55,津村 明秀,34.4,478(初出走),池上 昌和,5,0,20.6,1.7,北東
9,6,タイガ,牡2,55,的場 勇人,34.3,506(初出走),的場 均,9,0,20.6,1.7,北東
10,11,アンリーシュ,牝2,54,北村 宏司,34.5,430(初出走),小西 一男,10,0,20.6,1.7,北東
11,2,イッツエルメス,牝2,53,☆野中 悠太郎,35.1,464(初出走),畠山 吉宏,8,0,20.6,1.7,北東
,,,,,,,,,,,,,
2019/10/14,1R,,,,,,,,,,,,
1,12,ムーランアンディゴ,牡2,55,丸田 恭介,36.5,482(-6),田中 博康,1,6.5,16.4,1.3,北西
2,9,コパシーナ,せん2,55,三浦 皇成,36.9,482(+6),伊藤 圭三,2,6.5,16.4,1.3,北西
3,1,セイエスコート,牡2,54,☆横山 武史,37.7,462(+2),菊川 正達,5,6.5,16.4,1.3,北西
4,4,スターファイター,牡2,55,嘉藤 貴行,37.3,484(+10),田島 俊明,3,6.5,16.4,1.3,北西
5,6,サンダーボマー,牡2,55,岩田 康誠,37.3,418(+2),土田 稔,7,6.5,16.4,1.3,北西
6,10,トーセンシグナル,牡2,55,岩部 純二,37.5,494(+16),萱野 浩二,4,6.5,16.4,1.3,北西
7,2,エリンクロノス,牡2,53,△木幡 育也,39.1,504(-6),大江原 哲,10,6.5,16.4,1.3,北西
8,3,キヨセ,牡2,55,木幡 巧也,39.1,446(+18),新開 幸一,6,6.5,16.4,1.3,北西
9,5,ルナランス,牝2,53,☆武藤 雅,39.6,430(+8),武藤 善則,9,6.5,16.4,1.3,北西
10,7,コトブキノニ,牝2,53,☆菊沢 一樹,39.3,470(0),佐藤 吉勝,12,6.5,16.4,1.3,北西
11,13,フローラルオーク,牝2,53,☆野中 悠太郎,39.6,410(+2),伊藤 大士,8,6.5,16.4,1.3,北西
12,11,カシノスペリオル,牡2,52,▲大塚 海渡,38.5,442(-6),和田 雄二,13,6.5,16.4,1.3,北西
13,8,モンサンブラーマ,牡2,52,▲山田 敬士,38.8,462(-2),青木 孝文,11,6.5,16.4,1.3,北西
,,,,,,,,,,,,,
2019/10/14,2R,,,,,,,,,,,,
1,12,ピオノノ,牡2,55,岩田 康誠,38,486(0),奥村 武,1,6.5,16.4,1.3,北西
2,5,サトノアレックス,牡2,55,戸崎 圭太,37.9,492(+8),古賀 慎明,2,6.5,16.4,1.3,北西
3,9,ワンモアエフォート,牡2,52,▲大塚 海渡,38.8,480(-4),勢司 和浩,7,6.5,16.4,1.3,北西
4,6,アナンダライト,牡2,55,川田 将雅,38.8,502(-12),田村 康仁,3,6.5,16.4,1.3,北西
5,7,イデアイホマジョル,牡2,55,柴田 大知,38.8,434(+4),和田 雄二,8,6.5,16.4,1.3,北西
6,11,セントガブリエル,牝2,53,☆菊沢 一樹,39.2,460(-6),菊沢 隆徳,5,6.5,16.4,1.3,北西
7,1,グラスディアブロ,牡2,55,江田 照男,38.7,452(-10),手塚 貴久,11,6.5,16.4,1.3,北西
8,3,フルゴリラ,牡2,55,田中 勝春,39.1,522(0),小野 次郎,6,6.5,16.4,1.3,北西
9,13,カナライズ,牡2,55,三浦 皇成,40.3,454(-2),中舘 英二,4,6.5,16.4,1.3,北西
10,8,インディードシチー,牡2,55,吉田 豊,39.1,488(-4),上原 博之,9,6.5,16.4,1.3,北西
11,4,セイカアーナンダイ,牡2,55,石川 裕紀人,40.2,462(+14),相沢 郁,12,6.5,16.4,1.3,北西
12,2,ハシレコウマ,牡2,52,▲山田 敬士,40.7,490(-2),石栗 龍彦,13,6.5,16.4,1.3,北西
13,10,オウサムミニスター,牡2,54,☆野中 悠太郎,42.1,422(+2),和田 正一郎,10,6.5,16.4,1.3,北西
,,,,,,,,,,,,,
2019/10/14,3R,,,,,,,,,,,,
1,9,マルガイプライモーディアル,牡2,54,☆野中 悠太郎,34.9,480(0),黒岩 陽一,6,6.5,16.4,1.3,北西
2,5,セイウンパワフル,牡2,55,戸崎 圭太,34.6,472(0),斎藤 誠,3,6.5,16.4,1.3,北西
3,1,エストロ,牝2,54,川田 将雅,34.8,474(-2),萩原 清,2,6.5,16.4,1.3,北西
4,11,サヴァイヴ,牡2,55,福永 祐一,34.9,458(+4),清水 久詞,1,6.5,16.4,1.3,北西
5,13,ワカミヤアトゥ,牡2,55,石川 裕紀人,35.3,458(-2),稲垣 幸雄,7,6.5,16.4,1.3,北西
6,15,ハーディン,牡2,55,江田 照男,34.9,424(-2),佐藤 吉勝,9,6.5,16.4,1.3,北西
7,3,ディンブラ,牝2,54,三浦 皇成,34.8,460(+8),上原 博之,5,6.5,16.4,1.3,北西
8,7,ブルーノジュネス,牡2,55,丸田 恭介,34.8,482(0),宗像 義忠,4,6.5,16.4,1.3,北西
9,6,ブルーパー,牝2,54,嘉藤 貴行,35,460(-6),青木 孝文,10,6.5,16.4,1.3,北西
10,12,パトローナム,牡2,55,杉原 誠人,35.3,438(+2),高橋 文雅,15,6.5,16.4,1.3,北西
11,10,コスモトップガン,牡2,55,丹内 祐次,35.9,470(-2),伊藤 伸一,11,6.5,16.4,1.3,北西
12,16,ショウイモン,牝2,53,☆菊沢 一樹,35.8,424(-4),松山 将樹,14,6.5,16.4,1.3,北西
13,14,オレンジブラウニー,牝2,53,☆横山 武史,35.5,454(-4),的場 均,8,6.5,16.4,1.3,北西
14,8,マルガイデイオブサンダー,牡2,55,内田 博幸,35.1,472(0),田中 剛,12,6.5,16.4,1.3,北西
15,4,イエローハート,牡2,52,▲菅原 明良,36,458(+2),土田 稔,13,6.5,16.4,1.3,北西
16,2,ヤマヒビキ,牝2,51,▲山田 敬士,35.7,468(+2),石栗 龍彦,16,6.5,16.4,1.3,北西
,,,,,,,,,,,,,
2019/10/14,4R,,,,,,,,,,,,
1,5,フェルミスフィア,牝2,54,川田 将雅,34.8,430(初出走),木村 哲也,2,6.5,16.4,1.3,北西
2,2,ピーエムピンコ,牝2,51,▲藤田 菜七子,34,392(初出走),和田 正一郎,5,6.5,16.4,1.3,北西
3,18,カーテンコール,牝2,54,三浦 皇成,34.8,472(初出走),高野 友和,1,6.5,16.4,1.3,北西
4,17,ホイッスルヴォイス,牝2,54,石橋 脩,34.3,438(初出走),大竹 正博,4,6.5,16.4,1.3,北西
5,6,ダイユウローズ,牝2,54,木幡 巧也,35.2,504(初出走),松永 康利,11,6.5,16.4,1.3,北西
6,9,ルリアンヴェール,牝2,54,池添 謙一,35.6,410(初出走),牧浦 充徳,3,6.5,16.4,1.3,北西
7,10,キャツクレードル,牝2,54,江田 照男,35,462(初出走),佐藤 吉勝,14,6.5,16.4,1.3,北西
8,1,ナンヨーアイゼン,牝2,54,柴田 善臣,35.2,464(初出走),宗像 義忠,7,6.5,16.4,1.3,北西
9,16,カナワン,牝2,54,吉田 豊,35.1,438(初出走),竹内 正洋,10,6.5,16.4,1.3,北西
10,13,マリノヴィヴィアナ,牝2,54,岩田 康誠,35.8,456(初出走),松永 康利,6,6.5,16.4,1.3,北西
11,7,レッドペルーシュ,牝2,54,丸田 恭介,34.9,420(初出走),宗像 義忠,13,6.5,16.4,1.3,北西
12,3,プラチナビューティ,牝2,54,田中 勝春,36.3,436(初出走),宗像 義忠,8,6.5,16.4,1.3,北西
13,12,ロングヘア,牝2,54,嘉藤 貴行,35.6,476(初出走),加藤 和宏,18,6.5,16.4,1.3,北西
14,15,エバンタイユドール,牝2,54,武士沢 友治,35.2,498(初出走),高市 圭二,9,6.5,16.4,1.3,北西
15,8,スピランセス,牝2,54,勝浦 正樹,36.7,452(初出走),田村 康仁,12,6.5,16.4,1.3,北西
16,14,ミコドリーム,牝2,51,▲菅原 明良,36.3,480(初出走),尾形 和幸,16,6.5,16.4,1.3,北西
17,11,スノープロー,牝2,54,丹内 祐次,36.2,434(初出走),中野 栄治,17,6.5,16.4,1.3,北西
18,4,メロウスマイル,牝2,53,☆野中 悠太郎,36.2,376(初出走),小島 茂之,15,6.5,16.4,1.3,北西
,,,,,,,,,,,,,
2019/10/14,5R,,,,,,,,,,,,
1,14,ルナシオン,牝2,54,福永 祐一,34.3,450(初出走),藤沢 和雄,1,6.5,16.4,1.3,北西
2,9,マルガイヴィズサクセス,牡2,55,松岡 正海,34.1,456(初出走),手塚 貴久,6,6.5,16.4,1.3,北西
3,12,リュウノルフィ,牡2,55,柴田 善臣,34.5,432(初出走),小野 次郎,15,6.5,16.4,1.3,北西
4,15,ミヤコシャンティ,牝2,54,吉田 隼人,34.8,432(初出走),宗像 義忠,7,6.5,16.4,1.3,北西
5,4,フェアリーシップ,牝2,54,内田 博幸,35,460(初出走),石栗 龍彦,9,6.5,16.4,1.3,北西
6,2,シャドウワルツ,牡2,55,岩田 康誠,34.6,418(初出走),斎藤 誠,5,6.5,16.4,1.3,北西
7,3,インテリジェンス,牝2,54,横山 典弘,35.1,454(初出走),菊沢 隆徳,2,6.5,16.4,1.3,北西
8,10,レットミーアウト,牝2,54,丹内 祐次,34,468(初出走),水野 貴広,4,6.5,16.4,1.3,北西
9,11,マルガイサトノグリアン,牡2,55,戸崎 圭太,35.4,468(初出走),鹿戸 雄一,3,6.5,16.4,1.3,北西
10,5,カズノコクリュウ,牡2,54,☆野中 悠太郎,34.8,472(初出走),小西 一男,11,6.5,16.4,1.3,北西
11,1,エクシア,牝2,53,☆武藤 雅,34.7,480(初出走),小島 茂之,10,6.5,16.4,1.3,北西
12,8,シゲルパンドラ,牝2,54,吉田 豊,34.8,474(初出走),浅野 洋一郎,13,6.5,16.4,1.3,北西
13,6,マルガイコスモクウ,牡2,55,柴田 大知,35.3,448(初出走),上原 博之,8,6.5,16.4,1.3,北西
14,13,タイムイズナカヤマ,牡2,55,嘉藤 貴行,35,440(初出走),高市 圭二,16,6.5,16.4,1.3,北西
15,7,フォースオブライフ,牡2,52,▲菅原 明良,35.6,416(初出走),松山 将樹,14,6.5,16.4,1.3,北西
16,16,ニシノハナミズキ,牝2,54,北村 宏司,35.6,510(初出走),古賀 慎明,12,6.5,16.4,1.3,北西
,,,,,,,,,,,,,
2019/10/15,1R,,,,,,,,,,,,
1,10,エコロアーサー,牡2,52,▲藤田 菜七子,37.9,452(-2),武市 康男,5,0,17.7,1.3,東北東
